Drug MW (Dalton),DRUG (Log P),Edge activator (HLB),Edge activator loading,Phospholipid Lipid  loading,Phosopholipid Type,Permeation time (hour),sonication time,solvent ratio chloroform (%),hydration time,Cholesterol ,Drug loading (EE%),Vesicular  Size (nm),Vesicles zeta potential (mV),Drug released percentage,,,,,,,,,,
705.64,5.66,40,200,200,Phospholipid 90H,,2,50,180,0,98.17,249.9,-23.5,,,,,,,,,,,
705.64,5.66,40,200,400,Phospholipid 90H,,2,50,180,0,97.87,227.9,-54.2,,,,,,,,,,,
705.64,5.66,40,400,200,Phospholipid 90H,,2,50,180,0,97.27,159.9,-64.2,,,,,,,,,,,
705.64,5.66,40,400,400,Phospholipid 90H,,2,50,180,0,96.16,132.6,-67.4,,,,,,,,,,,
705.64,5.66,40,200,200,Phospholipid 90H,,2,50,180,0,92.57,384.1,-49.01,,,,,,,,,,,
705.64,5.66,40,200,400,Phospholipid 90H,,2,50,180,0,89.63,364.4,-43.7,,,,,,,,,,,
705.64,5.66,40,400,200,Phospholipid 90H,,2,50,180,0,89.87,301.6,-40.9,,,,,,,,,,,
705.64,5.66,40,400,400,Phospholipid 90H,,2,50,180,0,89.02,274.9,-41.5,,,,,,,,,,,
520.6,3.8,4.3,5,95,Phospholipid 90G,24,,67,60,0,95,168,,,,,,,,,,,,
520.6,3.8,4.3,15,85,Phospholipid 90G,24,,67,60,0,94.21,160,,,,,,,,,,,,
520.6,3.8,4.3,25,75,Phospholipid 90G,24,,67,60,0,89.78,150,,,,,,,,,,,,
520.6,3.8,16.7,5,95,Phospholipid 90G,24,,67,60,0,74.01,145,,,,,,,,,,,,
520.6,3.8,16.7,15,85,Phospholipid 90G,24,,67,60,0,63.02,110,,,,,,,,,,,,
520.6,3.8,16.7,25,75,Phospholipid 90G,24,,67,60,0,63,108,,,,,,,,,,,,
576.5,3.26,15,35,100,Phospholipid 90G,6,15,100,30,0,81.23,,,25.38,,,,,,,,,,
576.5,3.26,15,35,300,Phospholipid 90G,6,35,100,30,0,84.57,,,26.43,,,,,,,,,,
576.5,3.26,15,55,300,Phospholipid 90G,6,25,100,30,0,79.89,,,24.97,,,,,,,,,,
576.5,3.26,15,15,100,Phospholipid 90G,6,25,100,30,0,78.45,,,24.52,,,,,,,,,,
576.5,3.26,15,35,300,Phospholipid 90G,6,15,100,30,0,85.81,,,26.82,,,,,,,,,,
576.5,3.26,15,15,200,Phospholipid 90G,6,15,100,30,0,80.67,,,25.21,,,,,,,,,,
576.5,3.26,15,55,200,Phospholipid 90G,6,35,100,30,0,78.97,,,24.65,,,,,,,,,,
576.5,3.26,15,35,100,Phospholipid 90G,6,35,100,30,0,80.39,,,25.12,,,,,,,,,,
576.5,3.26,15,35,200,Phospholipid 90G,6,25,100,30,0,79.25,,,24.76,,,,,,,,,,
576.5,3.26,15,35,200,Phospholipid 90G,6,25,100,30,0,79.45,,,24.67,,,,,,,,,,
576.5,3.26,15,35,200,Phospholipid 90G,6,25,100,30,0,78.8,,,24.62,,,,,,,,,,
576.5,3.26,15,15,300,Phospholipid 90G,6,25,100,30,0,83.72,,,26.16,,,,,,,,,,
576.5,3.26,15,55,200,Phospholipid 90G,6,15,100,30,0,79.4,,,24.81,,,,,,,,,,
576.5,3.26,15,55,100,Phospholipid 90G,6,25,100,30,0,77.29,,,24.15,,,,,,,,,,
576.5,3.26,15,15,200,Phospholipid 90G,6,35,100,30,0,79.92,,,24.97,,,,,,,,,,
576.5,3.26,15,43.59,175.97,Phospholipid 90G,6,25.79,100,30,0,78.29,65,-13,24.2,,,,,,,,,,
482.4,1.6 ,4.3,30,100,PL H 100,6,25,50,60,0,43.27,,,43.03,,,,,,,,,,
482.4,1.6 ,4.3,30,250,PL H 100,6,25,50,60,0,66.8,,,51.43,,,,,,,,,,
482.4,1.6 ,4.3,10,400,PL H 100,6,25,50,60,0,58.13,,,51.81,,,,,,,,,,
482.4,1.6 ,4.3,50,100,PL H 100,6,25,50,60,0,39.8,,,36.13,,,,,,,,,,
482.4,1.6 ,4.3,10,250,PL H 100,6,25,50,60,0,50.03,,,51.97,,,,,,,,,,
482.4,1.6 ,4.3,30,250,PL H 100,6,25,50,60,0,67.5,,,52.02,,,,,,,,,,
482.4,1.6 ,4.3,30,250,PL H 100,6,25,50,60,0,66.58,,,51.5,,,,,,,,,,
482.4,1.6 ,4.3,50,250,PL H 100,6,25,50,60,0,55.03,,,49.96,,,,,,,,,,
482.4,1.6 ,4.3,30,400,PL H 100,6,25,50,60,0,70.13,,,58.13,,,,,,,,,,
482.4,1.6 ,4.3,30,100,PL H 100,6,25,50,60,0,47.87,,,38.03,,,,,,,,,,
482.4,1.6 ,4.3,30,400,PL H 100,6,25,50,60,0,63.93,,,60.01,,,,,,,,,,
482.4,1.6 ,4.3,50,400,PL H 100,6,25,50,60,0,56.17,,,50.03,,,,,,,,,,
482.4,1.6 ,4.3,50,250,PL H 100,6,25,50,60,0,53.1,,,47.96,,,,,,,,,,
482.4,1.6 ,4.3,10,250,PL H 100,6,25,50,60,0,57.17,,,44.91,,,,,,,,,,
482.4,1.6 ,4.3,10,100,PL H 100,6,25,50,60,0,33.1,,,28.35,,,,,,,,,,
482.4,1.6 ,4.3,30.12,389.69,PL H 100,6,25,50,60,0,68.61,314.7,,57.33,,,,,,,,,,
384.2 ,3.86,16.7,10,190,phosphatidylcholine egg yolk,8,2,33,0,0,76.6,453.2,-37,77.1,,,,,,,,,,
384.2 ,3.86,18,10,190,phosphatidylcholine egg yolk,8,2,33,0,0,82,639.9,-33.1,93.6,,,,,,,,,,
